"Antimicrobial";"Bacterium";"DiskContent";"Z6";"Z7";"Z8";"Z9";"Z10";"Z11";"Z12";"Z13";"Z14";"Z15";"Z16";"Z17";"Z18";"Z19";"Z20";"Z21";"Z22";"Z23";"Z24";"Z25";"Z26";"Z27";"Z28";"Z29";"Z30";"Z31";"Z32";"Z33";"Z34";"Z35";"Z36";"Z37";"Z38";"Z39";"Z40";"Z41";"Z42";"Z43";"Z44";"Z45";"Z46";"Z47";"Z48";"Z49";"Z50";"ECOFF";"Distributions";"Observations"
"Meropenem";"Citrobacter freundii";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9;10;23;39;54;46;26;18;9;4;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;25;7;244
"Meropenem";"Citrobacter koseri";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;4;3;8;22;27;35;23;5;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;7;139
"Meropenem";"Enterobacter cloacae";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;11;31;51;79;117;132;111;52;19;9;6;4;1;2;1;0;0;0;0;0;0;0;0;0;0;0;25;7;632
"Meropenem";"Escherichia coli";10;5;0;0;0;0;1;0;0;0;0;0;1;2;1;3;3;7;4;6;18;46;95;291;590;1564;2242;2530;1835;1033;505;189;74;39;13;16;4;8;2;2;0;0;0;1;0;1;25;14;11131
"Meropenem";"Escherichia coli ATCC 25922";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;0;2;6;47;87;238;394;442;357;143;30;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;16;1756
"Meropenem";"Haemophilus influenzae";10;0;0;0;0;0;0;0;0;0;0;1;2;2;2;10;18;38;49;99;156;233;252;311;307;326;245;222;153;99;67;55;24;23;12;11;10;4;4;1;0;0;0;0;1;0;23;6;2737
"Meropenem";"Haemophilus influenzae ATCC 49766";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;35;136;201;251;254;178;106;61;23;9;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;10;1267
"Meropenem";"Haemophilus parainfluenzae";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;5;1;2;0;4;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;2;22
"Meropenem";"Kingella kingae";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;3;7;5;8;14;12;13;16;16;11;18;11;9;3;2;3;1;0;;1;155
"Meropenem";"Klebsiella aerogenes";10;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;3;2;9;23;42;39;46;15;12;5;3;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;25;6;206
"Meropenem";"Klebsiella oxytoca";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;2;4;9;21;59;73;127;135;110;51;13;8;5;0;2;1;0;0;0;0;0;0;0;0;0;0;0;25;7;627
"Meropenem";"Klebsiella pneumoniae";10;6;0;0;3;2;1;1;1;3;3;0;1;1;2;6;3;4;4;14;27;64;106;241;311;388;210;150;67;24;12;8;4;0;2;1;0;1;0;0;0;0;0;0;0;0;25;10;1671
"Meropenem";"Listeria monocytogenes";10;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;2;10;30;27;46;79;85;120;89;84;39;18;13;3;0;0;1;1;0;2;0;0;0;0;0;25;6;654
"Meropenem";"Moraxella catarrhalis";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;12;4;9;12;27;40;49;37;56;38;34;27;18;7;2;4;1;37;6;380
"Meropenem";"Morganella morganii";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;11;19;35;38;26;12;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;7;151
"Meropenem";"Proteus mirabilis";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;7;14;44;85;116;179;143;89;35;16;14;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;25;8;751
"Meropenem";"Proteus vulgaris";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;14;12;9;9;3;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;6;63
"Meropenem";"Providencia rettgeri";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;5;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;3;17
"Meropenem";"Pseudomonas aeruginosa";10;120;3;16;23;20;19;19;21;17;27;21;49;58;25;43;38;52;50;91;130;143;204;236;252;355;393;453;384;307;215;97;75;47;20;28;13;10;5;4;3;3;0;1;1;1;24;9;4092
"Meropenem";"Pseudomonas aeruginosa ATCC 27853";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;10;16;30;79;198;342;492;360;171;47;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;17;1755
"Meropenem";"Pseudomonas fluorescens group";10;1;0;0;0;0;0;0;1;0;0;1;2;0;1;1;0;2;3;0;2;1;2;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;21
"Meropenem";"Pseudomonas putida group";10;13;0;0;1;1;0;0;1;0;4;3;6;5;5;14;6;11;3;5;5;1;2;0;0;0;0;0;0;0;0;2;2;2;4;5;2;4;2;3;0;0;0;0;0;0;;1;112
"Meropenem";"Pseudomonas spp (non-aeruginosa)";10;17;0;0;3;2;1;0;2;2;8;7;11;8;9;19;12;16;9;9;10;4;11;2;4;6;8;6;6;11;5;11;5;5;7;6;2;6;2;3;0;0;0;0;0;0;;7;255
"Meropenem";"Pseudomonas stutzeri group";10;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;2;2;2;4;6;3;7;3;2;2;1;0;1;0;0;0;0;0;0;0;0;;2;40
"Meropenem";"Salmonella spp";10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4;5;3;14;26;41;51;74;61;50;52;12;3;2;1;0;0;1;0;0;0;0;0;0;0;0;27;10;403
"Meropenem";"Serratia marcescens";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;7;18;31;56;61;43;19;10;6;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;25;6;259
"Meropenem";"Streptococcus anginosus";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;;1;6
"Meropenem";"Streptococcus mitis";10;2;0;0;1;0;0;0;0;0;0;0;0;0;2;0;1;1;2;0;3;1;0;1;2;2;1;2;2;4;8;5;2;2;4;2;2;2;3;0;0;0;0;0;0;0;;3;57
"Meropenem";"Streptococcus oralis";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;1;4;1;2;1;2;2;1;1;0;0;1;0;0;0;0;0;0;;1;21
"Meropenem";"Streptococcus parasanguis";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;2
"Meropenem";"Streptococcus pneumoniae ATCC 49619";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;13;24;28;24;14;4;1;0;0;0;0;0;0;0;0;0;0;0;0;;7;112
"Meropenem";"Streptococcus, viridans group";10;1;0;0;1;0;0;0;0;0;0;0;0;1;2;0;1;1;1;3;3;1;0;2;4;4;3;6;8;14;15;11;9;8;11;9;7;6;3;1;1;0;0;0;0;0;;2;137
"Minocycline";"Haemophilus influenzae";30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;21;45;67;82;91;73;22;9;7;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;24;4;434
"Minocycline";"Haemophilus influenzae ATCC 49766";30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;8;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;2;33
"Minocycline";"Moraxella catarrhalis";30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;4;26;30;37;13;9;1;3;4;1;0;0;0;0;0;0;0;0;0;29;2;131
"Minocycline";"Staphylococcus aureus";30;0;0;0;0;0;0;0;0;0;0;1;0;3;5;5;6;8;3;3;15;26;65;87;66;43;33;8;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;4;383
"Minocycline";"Staphylococcus aureus ATCC 29213";30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;10;19;10;12;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;3;64
"Minocycline";"Staphylococcus capitis";30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;4;2;3;8;1;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;1;30
"Minocycline";"Staphylococcus coagulase negative";30;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;2;5;4;6;13;12;18;20;25;18;9;8;10;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;23;1;155
"Minocycline";"Staphylococcus cohnii";30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;1;7
"Minocycline";"Staphylococcus epidermidis";30;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;2;3;8;5;9;12;9;5;3;3;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;23;1;69
"Minocycline";"Staphylococcus haemolyticus";30;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;2;1;0;2;4;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;1;16
"Minocycline";"Staphylococcus hominis";30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;3;2;7;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;1;21
"Minocycline";"Streptococcus agalactiae";30;0;0;0;0;0;0;0;2;13;34;43;11;9;2;0;0;0;1;3;5;6;2;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;2;138
"Minocycline";"Streptococcus group C";30;0;0;0;0;0;0;0;0;2;0;3;6;6;0;1;1;1;0;4;7;6;20;21;27;22;6;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;4;140
"Minocycline";"Streptococcus group G";30;0;0;0;0;0;0;0;0;1;2;7;11;6;3;1;0;0;1;0;6;8;22;23;12;9;6;4;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;4;127
"Minocycline";"Streptococcus pneumoniae";30;0;0;0;0;0;0;0;1;5;6;13;8;10;6;6;4;3;1;6;10;17;21;20;16;11;7;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;4;178
