"Antimicrobial";"Bacterium";"M0.002";"M0.004";"M0.008";"M0.016";"M0.032";"M0.064";"M0.125";"M0.25";"M0.5";"M1";"M2";"M4";"M8";"M16";"M32";"M64";"M128";"M256";"M512";"ECOFF";"Distributions";"Observations"
"Amoxicillin-clavulanic acid (fixed)";"Citrobacter spp";0;0;0;0;0;0;0;0;0;53;83;48;13;19;28;32;46;122;37;;1;481
"Amoxicillin-clavulanic acid (fixed)";"Escherichia coli";0;0;0;0;0;0;0;0;0;419;2121;3307;1787;997;497;309;246;395;81;;4;10159
"Amoxicillin-clavulanic acid (fixed)";"Klebsiella pneumoniae";0;0;0;0;0;0;0;0;0;544;706;334;175;79;47;35;65;105;86;;3;2176
"Amoxicillin-clavulanic acid (fixed)";"Proteus mirabilis";0;0;0;0;0;0;0;0;5;36;8;4;1;0;3;0;1;0;0;;2;58
"Amphotericin B";"Candida albicans Etest";0;8;72;137;87;74;295;462;175;10;0;0;0;0;0;0;0;0;0;;6;1320
"Amphotericin B";"Candida albicans EUCAST";0;0;0;1;332;623;638;579;920;353;3;0;0;0;0;0;0;0;0;1;14;3449
"Amphotericin B";"Candida dubliniensis DIN";0;0;0;0;0;0;3;7;0;0;0;0;0;0;0;0;0;0;0;;1;10
"Amphotericin B";"Candida dubliniensis Etest";0;0;0;1;1;5;3;3;3;0;0;0;0;0;0;0;0;0;0;;1;16
"Amphotericin B";"Candida dubliniensis EUCAST";0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;4;2
"Amphotericin B";"Candida dubliniensis EUCAST";0;0;0;14;17;7;2;2;1;0;0;0;0;0;0;0;0;0;0;;4;43
"Amphotericin B";"Candida famata EUCAST";0;0;0;0;7;4;3;16;36;29;6;4;0;0;0;0;0;0;0;;10;105
"Amphotericin B";"Candida glabrata Etest";0;0;2;12;39;37;35;87;268;40;5;2;0;0;0;0;0;0;0;;6;527
"Amphotericin B";"Candida glabrata EUCAST";0;0;0;0;14;39;127;93;103;72;10;0;0;1;0;0;0;0;0;1;10;459
"Amphotericin B";"Candida guilliermondii Etest";0;0;0;0;1;4;3;1;0;1;0;0;0;0;0;0;0;0;0;;1;10
"Amphotericin B";"Candida guilliermondii EUCAST";0;0;0;0;10;18;25;17;12;10;0;0;0;0;0;0;0;0;0;;9;92
"Amphotericin B";"Candida kefyr EUCAST";0;0;0;0;0;1;6;5;3;5;0;0;0;0;0;0;0;0;0;;7;20
